,Long,Lat,Code,Campground,Type,City,State
,35.016,-93.863,KNOP,Knoppers Ford,NF,Booneville,AR
,34.437,-92.919,LKCS,Lake Catherine State Park,SP,Hot Springs,AR
,36.068,-91.153,LKCP,Lake Charles State Park,SP,Powhatan,AR
,33.37,-91.197,LKCH,Lake Chicot State Park,SP,Lake Village,AR
,35.249,-93.213,LKDC,Lake Dardanelle State Park,SP,Russellville,AR
,35.972,-90.716,LKFS,Lake Frierson State Park,SP,Jonesboro,AR
,35.649,-94.159,LKFT,Lake Ft. Smith State Park,SP,Mountainburg,AR
,36.435,-93.76,LKLE,Lake Leatherwood City Park,CP,Eureka Springs,AR
,34.61,-93.168,LKOU,Lake Ouachita State Park,SP,Mountain Pine,AR
,35.534,-90.688,LKPS,Lake Poinsett State Park,SP,Harrisburg,AR
,34.868,-92.82,LKSY,Lake Sylvia,NF,Perryville,AR
,36.092,-94.37,LKWR,Lake Wedington Rec. Area,NF,Fayettville,AR
,36.373,-92.549,LKVU,Lakeview - Bull Shoals Lake,COE,Mountain Home,AR
,34.187,-93.707,LAUR,Laurel Creek - Lake Greeson,COE,Kirby,AR
,36.473,-92.922,LEAD,Lead Hill - Bull Shoals Lake,COE,Lead Hill,AR
,35.447,-94.379,LEEC,Lee Creek Public Use Area,CP,Van Buren,AR
,34.667,-93.229,LENA,Lena Landing - Lake Ouachita,COE,Hot Springs,AR
,34.232,-94.248,LITC,Little Coon Creek - Gillham Lake,COE,Wickes,AR
,34.63,-93.473,LITF,Little Fir - Lake Ouachita,COE,Mount Ida,AR
,34.87,-94.269,LITP,Little Pines,NF,Waldron,AR
,34.899,-92.163,LITR,Little Rock AFB Military,MIL,,AR
,33.349,-93.182,LOGO,Logoly State Park,SP,McNeil,AR
,34.715,-90.696,LONE,Lone Pine,NF,Marianna,AR
,35.549,-93.159,LONG,Long Pool,NF,Dover,AR
,36.41,-93.896,LOSN,Lost Bridge North - Beaver Lake,COE,Rogers,AR
,36.397,-93.903,LOSS,Lost Bridge South - Beaver Lake,COE,Rogers,AR
,36.002,-93.388,LOSV,Lost Valley - Buffalo National River,NP,Ponca,AR
,35.155,-93.807,MAGA,Magazine Municipal RV Park,CP,Magazine,AR
,34.705,-90.688,MAPL,Maple Flat,NF,Jeffersonville,AR
,34.831,-92.438,MAUM,Maumelle,COE,Little Rock,AR
,34.032,-91.266,MERR,Merrisach Lake Park - Merrisach Lake,COE,Dumas,AR
,35.582,-92.218,MILC,Mill Creek - Greers Ferry Lake,COE,Bee Branch,AR
,34.731,-93.996,MILF,Mill Creek Family Camp,CP,Y City,AR
,33.681,-94,MILS,Millwood State Park,SP,Ashdown,AR
,33.301,-92.347,MORO,Moro Bay State Park,SP,Jersey,AR
,35.174,-93.619,MOUM,Mount Magazine State Park,SP,Havana,AR
,35.219,-93.247,MOUN,Mount Nebo State Park,SP,Dardanelle,AR
,35.563,-92.198,NARR,Narrows - Greers Ferry Lake,COE,Greers Ferry,AR
,33.949,-93.863,NASH,Nashville City Park,CP,Nashville,AR
,33.988,-91.31,NOTR,Notrebes Bend,COE,Gillett,AR
,34.1,-94.388,OAK,Oak Grove,COE,DeQueen,AR
,36.444,-92.628,OAKL,Oakland - Bull Shoals Lake,COE,Mountain Home,AR
,36.156,-91.057,OLDD,Old Davidsonville State Park,SP,Pocahontas,AR
,35.538,-92.018,OL25,Old Highway 25 - Greers Ferry Lake,COE,Heber Springs,AR
,33.3,-92.462,OLDL,Old Lock and Dam 8,COE,El Dorado,AR
,35.247,-93.157,OLDP,Old Post Road - Lake Dardanelle,COE,Dardanelle,AR
,35.101,-93.653,OUTL,Outlet Area - Blue Mountain Lake,COE,Waveland,AR
,34.239,-93.205,OZAN,Ozan Point - De Gray Lake,COE,Bismarck,AR
,36.063,-93.16,OZAR,Ozark - Buffalo National River,NP,Jasper,AR
,36.438,-92.647,OZAI,Ozark Isle - Bull Shoals Lake,COE,Oakland,AR
,35.671,-93.448,OZON,Ozone,NF,Clarksville,AR
,36.377,-92.259,PANT,Panther Bay - Norfolk Lake,COE,Mountain Home,AR
,33.783,-94.006,PARA,Paraloma Landing - Millwood Lake,COE,Mineral Springs,AR
,34.157,-93.735,PARK,Parker Creek - Lake Greeson,COE,Murfreesboro,AR
,33.99,-91.359,PEND,Pendleton Bend,COE,Dumas,AR
,35.115,-92.951,PETI,Petit Jean State Park,SP,Morrilton,AR
,34.169,-93.729,PIKE,Pikeville - Lake Greeson,COE,Murfreesboro,AR
,34.295,-92.099,LINB,Pine Bluff Aresenal Military,MIL,White Hall,AR
,34.103,-94.4,PINR,Pine Ridge,COE,DeQueen,AR
,35.398,-93.317,PINB,Piney Bay - Lake Dardanelle,COE,Russelville,AR
,36.254,-90.971,POCA,Pocahontas City Park,CP,Pocahontas,AR
,34.282,-93.29,POIN,Point Cedar - De Gray Lake,COE,Bismarck,AR
,35.145,-92.772,POIR,Point Remove Park,COE,Morrilton,AR
,36.39,-92.565,POIN,Point Return City Park,CP,Bull Shoals,AR
,36.355,-94.053,PRAI,Prairie Creek - Beaver Lake,COE,Rogers,AR
,34.957,-93.165,QUAC,Quarry Cove,COE,Plainview,AR
,36.255,-92.242,QUAR,Quarry Cove - Norfolk Lake,COE,,AR
,34.686,-94.372,QUEE,Queen Wilhelmina State Park,SP,Mena,AR
,34.617,-93.338,RABB,Rabbit Tail - Lake Ouachita,COE,Avant,AR
,36.257,-90.285,RECT,Rector City Park,CP,Rector,AR
,35.682,-93.786,REDD,Redding,NF,Ozark,AR
,35.797,-92.934,RICH,Richland Creek,NF,Pelsor,AR
,34.165,-91.737,RISI,Rising Star,COE,Grady,AR
,34.64,-93.625,RIVB,River Bluff,NF,Mount Ida,AR
,35.444,-94.071,RIRD,River Ridge - Ozark Lake,COE,Cecil,AR
,34.951,-93.158,RIVR,River Road,COE,Ola,AR
,33.692,-93.963,RIVE,River Run East - Millwood Lake,COE,Ashdown,AR
,33.691,-93.967,RIVW,River Run West - Millwood Lake,COE,Ashdown,AR
,34.693,-91.314,RIVE,Riverfront RV Park,CP,Clarendon,AR
,35.247,-93.173,RIVE,Riverview - Lake Dardanelle,COE,Dardanelle,AR
,36.354,-92.241,ROBI,Robinson Point - Norfolk Lake,COE,Mountain Home,AR
,34.209,-93.759,ROCK,Rock Creek - Lake Greeson,COE,Kirby,AR
,36.342,-93.934,ROCB,Rocky Branch - Beaver Lake,COE,Rogers,AR
,34.612,-93.697,ROCS,Rocky Shoals,NF,Mount Ida,AR
,36.125,-92.548,RUSH,Rush Landing - Buffalo National River,NP,Yellville,AR
,34.322,-94.236,SANB,Sand Bar Bridge - Cossatot River State Park,SP,Umpire,AR
,34.256,-91.985,SARC,Saracen Trace RV Park,CP,Pine Bluff,AR
,33.739,-93.92,SARA,Saratoga Landing - Millwood Lake,COE,Saratoga,AR
,34.236,-93.759,SELF,Self Creek - Lake Greeson,COE,Daisy,AR
,35.124,-92.785,SEQU,Sequoya Park, ,Morrilton,AR
,34.37,-94.024,SHAD,Shady Lake,NF,Athens,AR
,35.54,-92.151,SHIL,Shiloh - Greers Ferry Lake,COE,Greers Ferry,AR
