,Lat,Long,Code,Campground,Type,City,State
,37.622,-106.685,HIGW,Highway Springs,NF,South Fork,CO
,40.028,-107.272,HIME,Himes Peak,NF,Buford,CO
,40.749,-106.834,HINM,Hinman Park,NF,Steamboat Springs,CO
,39.472,-106.366,HORN,Hornsilver,NF,Minturn,CO
,39.9,-106.096,HOR1,Horseshoe,NF,Parshall,CO
,39.202,-106.086,HOR2,Horseshoe,NF,Fairplay,CO
,40.035,-107.113,HOR3,Horseshoe,NF,,CO
,37.516,-108.535,HOUS,House Creek,NF,Dolores,CO
,37.383,-109.071,HOVE,Hovenweep National Monument,NP,Cortez,CO
,39.134,-103.471,HUGO,Hugo City Park,CP,Hugo,CO
,39.904,-105.778,IDLE,Idlewild,NF,Winter Park,CO
,39.381,-105.098,INDI,Indian Creek,NF,Sedalia,CO
,40.527,-105.161,INLE,Inlet Bay - Horsetooth Reservoir,CP,Fort Collins,CO
,40.826,-108.734,IRIS,Irish Canyon,BLM,Maybell,CO
,38.709,-106.338,IROC,Iron City,NF,Nathrop,CO
,38.317,-108.164,IROS,Iron Springs,NF,Montrose,CO
,39.168,-108.301,ISLA,Island Acres - James M. Robb - Colorado River State Park,SP,Palisade,CO
,39.032,-108.011,ISLL,Island Lake,NF,Cedaredge,CO
,37.681,-107,IVYC,Ivy Creek,NF,Creede,CO
,40.633,-105.525,JACG,Jacks Gulch,NF,Rustic,CO
,39.251,-105.089,JACK,Jackson Creek,NF,Denver,CO
,40.385,-104.093,JACL,Jackson Lake State Park,SP,Orchard,CO
,39.433,-105.853,JEFF,Jefferson Creek,NF,Jefferson,CO
,39.053,-108.094,JUMB,Jumbo,NF,Mesa,CO
,37.337,-107.917,JUNC,Junction Creek,NF,Durango,CO
,38.277,-104.755,JUNI,Juniper Breaks - Lake Pueblo State Park,SP,Pueblo,CO
,40.47,-107.953,JUNP,Juniper Canyon - Yampa River State Park,SP,Craig,CO
,39.932,-105.498,KELD,Kelly Dahl,NF,Nederland,CO
,40.681,-105.483,KELF,Kelly Flats,NF,Rustic,CO
,39.306,-105.265,KELS,Kelsey,NF,Bailey,CO
,39.414,-105.761,KENO,Kenosha Pass,NF,Jefferson,CO
,39.038,-107.948,KISE,Kiser Creek,NF,Cedaredge,CO
,39.329,-106.128,KITE,Kite Lake,NF,Alma,CO
,37.376,-108.077,KROE,Kroeger,NF,Durango,CO
,37.984,-105.059,LAVI,La Vista - Lake Isabel,NF,Colorado City,CO
,38.265,-105.662,LAKK,Lake Creek,NF,Westcliffe,CO
,37.309,-106.477,LKF1,Lake Fork,NF,Antonito,CO
,38.455,-107.323,LKF2,Lake Fork - Curecanti Area,NRA,Gunnison,CO
,38.075,-102.933,LAKH,Lake Hasty - John Martin State Park,SP,Hasty,CO
,38.881,-107.108,LAKI,Lake Irwin,NF,Crested Butte,CO
,38.818,-106.58,LAKA,Lakeview - Almont,NF,,CO
,39.098,-106.366,LAKT,Lakeview - Twin Lakes,NF,Leadville,CO
,39.117,-106.695,LINC,Lincoln Gulch,NF,Aspen,CO
,39.378,-106.806,LTMA,Little Mattie,NF,Basalt,CO
,39.375,-106.813,LITM,Little Maud,NF,Basalt,CO
