,Lat,Long,Code,Campground,Type,City,State
,41.66,-120.774,RESC,Reservoir C,NF,Alturas,CA
,41.579,-120.874,RESF,Reservoir F,NF,Alturas,CA
,37.771,-119.083,REVE,Reversed Creek,NF,June Lake,CA
,34.679,-119.307,REYC,Reyes Creek,NF,Mt. Pinos,CA
,34.637,-119.315,REYP,Reyes Peak,NF,Ojai,CA
,40.018,-123.793,RICH,Richardson Grove State Park,SP,Garberville,CA
,40.847,-122.798,RIDG,Ridgeville,NF,Weaverville,CA
,34.333,-119.403,RINC,Rincon County Parkway RV,CP,Ventura,CA
,40.876,-123.028,RIPS,Ripstein,NF,Junction City,CA
,34.65,-120.435,RIVP,River Park RV,CP,Lompoc,CA
,37.993,-120.182,RIVR,River Ranch,NF,Twain Harte,CA
,32.912,-115.118,ROAD,Roadrunner - Imperial Sand Dunes OHV,BLM,Brawley,CA
,38.185,-119.323,ROBC,Robinson Creek,NF,Bridgeport,CA
,39.156,-120.502,ROBF,Robinson Flat,NF,Foresthill,CA
,37.292,-119.361,ROCC,Rock Creek,NF,North Fork,CA
,37.451,-118.734,ROCL,Rock Creek Lake,NF,Mammoth Lakes,CA
,40.726,-121.428,ROCK,Rocky,NF,Hat Creek,CA
,36.068,-118.922,ROCH,Rocky Hill,COE,Porterville,CA
,40.499,-121.155,RCKL,Rocky Knoll,NF,Westwood,CA
,40.191,-121.1,ROCP,Rocky Point - Feather River,UTIL,Canyondam,CA
,39.513,-120.977,ROCR,Rocky Rest,NF,Camptonville,CA
,39.768,-121.312,ROGE,Rogers Cow Camp (Family ),NF,Berry Creek,CA
,34.532,-119.183,ROSE,Rose Valley,NF,Ojai,CA
,40.348,-120.81,ROXI,Roxie Peconom,NF,Susanville,CA
,41.854,-124.122,RUBY,Ruby Van Devander Co Park,CP,Crescent City,CA
,31.78,-109.31,RUCL,Rucker Lake,NF,,CA
,38.964,-120.933,RUCK,Rucky A Chucky - Auburn State Rec Area,SRA,,CA
,39.738,-120.967,RUNN,Running Deer,NF,La Porte,CA
,40.819,-122.897,RUSH,Rush Creek,NF,Weaverville,CA
,39.331,-123.779,RUSS,Russian Gulch State Park,SP,Mendocino,CA
,40.326,-123.393,RUTH,Ruth Lake - Ruth Lake,CP,Mad River,CA
,33.983,-116.155,RYAN,Ryan - Joshua Tree National Park,NP,,CA
,37.22,-118.606,SABR,Sabrina,NF,Bishop,CA
,39.308,-122.712,SADD,Saddle Camp Loop,NF,Stonyford,CA
,34.677,-117.825,SADU,Saddleback Butte State Park,SP,Lancaster,CA
,37.965,-119.271,SADB,Saddlebag Lake,NF,Lee Vining,CA
,37.13,-118.413,SAGF,Sage Flat,NF,Big Pine,CA
,39.435,-120.257,SAGC,Sagehen Creek,NF,Truckee,CA
,37.866,-118.861,SAGE,Sagehen Meadows,NF,Lee Vining,CA
,39.626,-120.614,SALM,Salmon Creek,NF,Sierra City,CA
,38.569,-123.324,SALT,Salt Point State Park,SP,Jenner,CA
,40.769,-124.218,SAMO,Samoa Boat Ramp County RV Park,CP,Eureka,CA
,37.335,-119.155,SAMP,Sample Meadow,NF,Lakeshore,CA
,38.024,-122.739,SAMU,Samuel Taylor State Park,SP,Lagunitas,CA
,34.803,-120.515,SANA,San Antonio Military - Vandenberg AFB,MIL,Lompoc,CA
,33.407,-117.602,SANC,San Clemente State Beach,SB,San Clemente,CA
,33.022,-117.284,SANE,San Elijo State Beach,SB,Cardiff,CA
,34.174,-116.867,SANG,San Gorgonio,NF,Angelus Oaks,CA
,36.207,-121.153,SANR,San Lorenzo,CP,King City,CA
,37.084,-121.062,SANL,San Luis Creek - San Luis Reservoir,SRA,Gustine,CA
,33.407,-117.585,SANO,San Mateo  - San Onofre State Beach,SB,San Clemente,CA
,37.277,-122.294,SANM,San Mateo Memorial County Park,CP,Pescadero,CA
,33.38,-117.572,SANO,San Onofre Beach Military,MIL,San Clemente,CA
,35.583,-121.121,SANS,San Simeon State Park,SP,Cambria,CA
,37.237,-122.064,SANB,Sanborn - Skyline County Park,CP,Los Gatos,CA
,38.184,-120.155,SANF,Sand Bar Flat,NF,Mi-Wuk,CA
,38.404,-119.788,SAN1,Sand Flat,NF,Kyburz,CA
,38.763,-120.325,SAN2,Sand Flat,NF,Placerville,CA
,38.411,-120.08,SAN3,Sand Flat,NF,,CA
,38.149,-121.694,SANP,Sandy Beach County Park,CP,Rio Vista,CA
,35.581,-118.538,SAN4,Sandy Flat,NF,Lake Isabella,CA
,36.973,-121.998,SACP,Santa Cruz Port District,CP,Santa Cruz,CA
,35.324,-120.493,SANT,Santa Margarita Lake Regional Park,CP,Santa Margarita,CA
,34.941,-120.445,SANT,Santa Maria Fairpark,CP,Santa Maria,CA
,32.845,-117.006,SANK,Santee Lakes Regional Park,CP,Santee,CA
,41.788,-123.052,SARA,Sarah Totten,NF,Happy Camp,CA
,39.62,-120.615,SARD,Sardine,NF,Sierra City,CA
,34.701,-118.572,SAWM,Sawmill,NF,Lake Hughes,CA
,36.97,-119.017,SAWF,Sawmill Flat,NF,Lakeshore,CA
,37.769,-118.676,SAWS,Sawmill Meadows,NF,Lee Vining,CA
,41.592,-121.617,SCHO,Schonichin Springs,NF,Tionesta,CA
,39.418,-121.121,SCHL,Schoolhouse,NF,Camptonville,CA
,40.366,-123.309,SCOF,Scott Flat,NF,Bridgeville,CA
,41.275,-122.698,SCOT,Scott Mountain,NF,,CA
,33.75,-118.085,SEAB,Seabreeze at Seal Beach Military,MIL,Seal Beach,CA
,36.974,-121.919,SEAC,Seacliff State Beach,SB,Aptos,CA
,35.132,-119.841,SELB,Selby,NM,New Cuyama,CA
,36.792,-118.673,SENT,Sentinel - Sequoia and Kings Canyon National Park,NP,Cedar Grove,CA
,34.263,-116.915,SERR,Serrano,NF,Big Bear Lake,CA
,41.203,-123.069,SHAD,Shadow Creek,NF,Cecilville,CA
,41.711,-121.981,SHAF,Shafter,NF,Macdoel,CA
,36.249,-118.67,SHAK,Shake Camp - State Forest,SF,Springville,CA
,37.854,-121.269,SHAR,Sharpe RV Military,MIL,French Camp,CA
,40.713,-122.433,SHAS,Shasta (OHV),NF,Redding,CA
,36.792,-118.679,SHEP,Sheep Creek - Kings Canyon National Park,NP,Cedar Grove,CA
,40.47,-123.06,SHEI,Sheill Gulch,NF,Platina,CA
,37.63,-118.936,SHER,Sherwin Creek,NF,Mammoth Lakes,CA
,39.144,-120.786,SHIR,Shirttail,NF,Foresthill,CA
,35.912,-116.313,SHOS,Shoshone - Tecopa - Dispersed,BLM,Shoshone,CA
,39.631,-120.558,SIER,Sierra,NF,Sierra City,CA
,38.726,-120.549,SIER,Sierra  - Sly Park Recreation Area,CP,Pollock Pines,CA
,35.652,-117.668,SIER,Sierra Vista RV Park - China Lake,MIL,Ridgecrest,CA
,40.5,-121.163,SILB,Silver Bowl,NF,Westwood,CA
,38.588,-119.786,SIL1,Silver Creek-Hwy 4,NF,Markleeville,CA
,39.223,-120.201,SIL2,Silver Creek-Truckee,NF,Tahoe City,CA
,38.699,-120.207,SILF,Silver Fork,NF,Pioneer,CA
,38.672,-120.121,SIL3,Silver Lake,NF,Eldorado,CA
,39.959,-121.135,SILV,Silver Lake (Family ),NF,Quincey,CA
,37.783,-119.126,SIL4,Silver Lake - June Lake,NF,June Lake,CA
,32.636,-117.143,SILS,Silver Strand State Beach,SP,Coronado,CA
,38.481,-119.986,SILL,Silver Valley,NF,Arnold,CA
,38.481,-120.017,SILT,Silvertip,NF,Bear Valley,CA
,34.281,-117.335,SIL5,Silverwood Lake State Rec Area,SP,Hesperia,CA
,41.062,-122.359,SIMS,Sims Flat,NF,Dunsmuir,CA
,39.318,-120.79,SKIL,Skillman,NF,Nevada City,CA
