,Long,Lat,Code,Campground,Type,City,State
,40.927,-72.629,INDI,Indian Island Park,CP,Riverhead,NY
,44.559,-75.677,JACQ,Jacques Cartier State Park,SP,Morristown,NY
,42.342,-77.722,KANA,Kanakadea Park - Almond Lake,CP,Hornell,NY
,44.324,-75.93,KEEW,Keewaydin State Park,SP,Alexandria Bay,NY
,42.027,-74.221,KENN,Kenneth L. Wilson - DEC,SPR,Mt.Tremper,NY
,42.583,-77.13,KEUK,Keuka Lake State Park,SP,Bluff Point,NY
,44.377,-75.855,KRIN,Kring Point State Park,SP,Redwood,NY
,43.838,-74.389,LAKD,Lake Durant - DEC,SPR,Indian Lake,NY
,43.988,-74.463,LAKE,Lake Eaton - DEC,SPR,Long Lake,NY
,42.421,-79.429,LAKR,Lake Erie State Park,SP,Brocton,NY
,43.414,-73.712,LAKG,Lake George Battleground - DEC,SPR,Lake George Vi,NY
,43.979,-74.13,LAKH,Lake Harris - DEC,SPR,Newcomb,NY
,42.094,-73.708,LAKT,Lake Taghkanic State Park,SP,Ancram,NY
,43.366,-78.244,LAKB,Lakeside Beach State Park,SP,Waterport,NY
,42.584,-78.045,LETC,Letchworth State Park,SP,Castile,NY
,43.651,-74.394,LEWE,Lewey Lake - DEC,SPR,Indian Lake,NY
,43.718,-74.796,LIME,Limekiln Lake - DEC,SPR,Inlet,NY
,44.139,-73.579,LINC,Lincoln Pond - DEC,SPR,New Russia,NY
,42.036,-74.735,LITP,Little Pond - DEC,SPR,Margaretville,NY
,43.417,-74.551,LITS,Little Sand Point - DEC,SPR,Piseco,NY
,44.026,-76.221,LONG,Long Point State Park,SP,Three Mile Bay,NY
,43.361,-73.826,LUZE,Luzerne - DEC,SPR,Lake Luzerne,NY
,44.616,-73.616,MACO,Macomb Reservation State Park,SP,Schuyler Falls,NY
,41.84,-73.932,MARG,Margaret Norrie State Park,SP,Staatsburg,NY
,42.547,-74.411,MAX,Max V Shaul State Park,SP,Fultonham,NY
,41.104,-72.373,MCCA,McCanns Campground,CP,Greenport,NY
,44.578,-74.287,MEAC,Meacham Lake - DEC,SPR,Malone,NY
,44.299,-74.077,MEAD,Meadowbrook - DEC,SPR,,NY
