,Long,Lat,Code,Campground,Type,City,State
,43.491,-94.459,IOWA,Iowa Lake Co Campground,CP,Armstrong,IA
,43.5,-95.455,IOWA,Iowa Lake Co Park,CP,Harris,IA
,42.846,-93.617,IOWA,Iowa River RV Park,CP,Belmond,IA
,41.599,-93.551,IOWS,Iowa State Fairgrounds,CP,Des Moines,IA
,43.436,-96.171,ISLP,Island Park - Rock Rapids,CP,Rock Rapids,IA
,41.621,-94.014,ISLA,Island Park Co Park,CP,Adel,IA
,40.827,-92.906,ISLA,Island View - Rathbun Lake,COE,Centerville,IA
,41.368,-92.981,IVAN,Ivans - Red Rock Lake,COE,Pella,IA
,42.599,-91.741,JACK,Jakway County Park,CP,Aurora,IA
,40.993,-91.988,JEFF,Jefferson County Park,CP,Fairfield,IA
,41.78,-93.775,JEST,Jester County Park,CP,Granger,IA
,42.731,-94.261,JOES,Joe Sheldon County Park,CP,Humboldt,IA
,42.079,-90.751,JOIN,Joinerville County Park,CP,Maquoketa,IA
,42.677,-91.597,JOYS,Joy Springs County Park,CP,Strawberry Poi,IA
,43.122,-94.68,KEAR,Kearny Park,CP,Emmetsburg,IA
,42.583,-94.192,KENN,Kennedy County Park,CP,Fort Dodge,IA
,42.844,-91.816,KLOC,Klocks Island Park,CP,Fayette,IA
,40.792,-94.339,KOKE,Kokesh Co Park,CP,Diagonal,IA
,42.704,-95.554,KOSE,Koser Spring Lake Park,CP,Cherokee,IA
,40.709,-91.981,LACE,Lacey - Keosauqua State Park,SP,Keosauqua,IA
,41.296,-93.583,LAKE,Lake Ahquabi State Park,SP,Indianola,IA
,41.433,-94.762,LAKA,Lake Anita State Park,SP,Anita,IA
,41.003,-94.711,LAKE,Lake Binder Co Park,CP,Corning,IA
,42.716,-92.917,LAKE,Lake Considine,CP,Bristow,IA
,42.793,-93.692,LAKC,Lake Cornelia Park,CP,Clarion,IA
,41.192,-91.896,LAKD,Lake Darling State Park,SP,Brighton,IA
,40.759,-92.446,LAKE,Lake Fisher,CP,Bloomfield,IA
,43.373,-92.55,LAKE,Lake Hendricks Co Park,CP,Riceville,IA
,41.056,-94.735,LAKE,Lake Icaria Co Park,CP,Corning,IA
,41.636,-92.182,LAKI,Lake Iowa County Park,CP,Ladora,IA
,41.29,-92.541,LAKK,Lake Keomah State Park,SP,Oskaloosa,IA
,41.798,-91.577,LAKM,Lake Macbride State Park,SP,Solon,IA
,41.197,-95.854,LAKN,Lake Manawa State Park,SP,Council Bluffs,IA
,43.173,-91.911,LAME,Lake Meyer County Park,CP,Calmar,IA
,40.713,-94.684,LAKT,Lake of Three Fires State Park,SP,Bedford,IA
