,State
1732,UT
1733,UT
1734,UT
1735,UT
1736,UT
1737,UT
1738,VA
1739,VA
1740,VA
1741,VA
1742,VA
1743,VA
1744,VA
1745,VA
1746,VA
1747,VA
1748,VA
1749,VA
1750,VA
1751,VA
1752,VA
1753,VA
1754,VA
1755,VA
1756,VA
1757,VA
1758,VA
1759,VA
1760,VA
1761,VA
1762,VA
1763,VA
1764,VA
1765,VA
1766,VA
1767,NC
1768,VA
1769,VA
1770,VA
1771,VA
1772,VA
1773,VT
1774,WA
1775,WA
1776,WA
1777,WA
1778,WA
1779,WA
1780,WA
1781,WA
1782,WA
1783,WA
1784,WA
1785,WA
1786,WA
1787,WA
1788,WA
1789,WA
1790,WA
1791,WA
1792,WA
1793,WA
1794,WA
1795,WA
1796,WA
1797,WA
1798,WA
1799,WA
1800,WA
1801,WA
1802,WA
1803,WA
1804,WA
1805,WA
1806,WA
1807,WA
1808,WA
1809,WA
1810,WA
1811,WA
1812,WA
1813,WA
1814,WA
1815,WA
1816,WA
1817,WA
1818,WA
1819,WA
1820,WA
1821,WA
1822,WA
1823,WA
1824,WA
1825,WA
1826,WA
1827,WA
1828,WA
1829,WA
1830,WA
1831,WA
1832,WA
1833,OR
1834,WA
1835,WA
1836,WA
1837,WA
1838,WA
1839,WA
1840,WA
1841,WA
1842,WA
1843,WA
1844,WA
1845,WA
1846,WA
1847,WA
1848,WA
1849,WA
1850,WA
1851,WA
1852,WA
1853,WA
1854,WA
1855,WA
1856,WA
1857,WA
1858,WA
1859,WA
1860,WA
1861,WA
1862,WA
1863,WA
1864,WA
1865,WA
1866,WA
1867,WA
1868,WA
1869,WA
1870,WA
1871,WA
1872,WA
1873,WA
1874,WA
1875,WA
1876,WA
1877,WA
1878,WA
1879,WA
1880,WA
1881,WA
1882,WA
1883,WA
1884,WA
1885,WA
1886,WA
1887,WA
1888,WA
1889,WA
1890,WA
1891,WA
1892,WA
1893,WA
1894,WA
1895,WA
1896,WA
1897,WA
1898,WA
1899,WA
1900,WA
1901,WA
1902,WA
1903,WA
1904,WA
1905,WA
1906,OR
1907,WA
1908,WA
1909,WA
1910,WA
1911,WA
1912,WA
1913,WA
1914,WA
1915,WA
1916,WA
1917,WA
1918,WA
1919,WA
1920,WA
1921,WA
1922,WA
1923,WA
1924,WA
1925,WA
1926,WA
1927,WA
1928,WA
1929,WA
1930,WA
1931,WA
1932,WA
1933,WA
1934,WA
1935,WA
1936,WA
1937,WA
1938,WA
1939,WA
1940,WA
1941,WA
1942,WA
1943,WA
1944,WA
1945,WA
1946,WA
1947,WA
1948,WA
1949,WA
1950,WA
1951,WA
1952,WA
1953,WA
1954,WA
1955,WA
1956,WA
1957,WA
1958,WA
1959,WA
1960,WA
