,Lat,Long,Code,Campground,Type,City,State
2014,32.045,-94.475,ROSI,Rosie Jones Park - Lake Murvaul,UTIL,Long Branch,TX
1743,32.045,-94.475,DECK,Decker Hill Park - Lake Murvaul,UTIL,,TX
1976,32.064,-97.494,PLOW,Plowman Creek - Lake Whitney,COE,Whitney,TX
1751,32.086,-98.344,DUBL,Dublin City Park,CP,Dublin,TX
2096,32.091,-98.351,WEIS,Weiser Community Park,CP,Dublin,TX
1742,32.118,-98.524,DELE,De Leon Community Park,CP,De Leon,TX
1855,32.123,-97.498,KIMB,Kimball Bend -  Lake Whitney,COE,,TX
1803,32.174,-97.483,HAMM,Hamm Creek County Park,CP,Rio Vista,TX
2059,32.213,-98.197,STEV,Stephenville City Park,CP,Stephenville,TX
1937,32.24,-101.318,MOSS,Moss Creek Lake Park,CP,Big Spring,TX
1640,32.241,-99.879,ABIL,Abilene State Park,SP,Tuscola,TX
1745,32.246,-97.814,DINO,Dinosaur Valley State Park,SP,Glen Rose,TX
1722,32.252,-97.55,CLEB,Cleburne State Park,SP,Cleburne,TX
1939,32.255,-96.667,MOTT,Mott - Bardwell Lake,COE,Ennis,TX
1813,32.268,-96.664,HIGH,Highview - Bardwell Lake,COE,Ennis,TX
1717,32.272,-94.986,CITP,City Park Camp - Overton,CP,Overton,TX
1919,32.278,-94.566,MARC,Martin Creek Lake State Park,SP,,TX
2092,32.293,-96.691,WAXA,Waxahachie - Bardwell Lake,COE,Ennis,TX
1865,32.316,-100.935,LAKE,Lake Colorado City State Park,SP,Colorado City,TX
1711,32.318,-102.555,CHAA,Chamber of Commerce Park - Andrews,CP,Andrews,TX
1941,32.319,-102.554,MUNI,Municipal Trailer Park - Andrews,CP,Andrews,TX
1987,32.354,-95.994,PURT,Purtis Creek State Park,SP,Eustace,TX
1737,32.364,-98.676,DAML,Dam  - Leon Reservoir,UTIL,Eastland,TX
1889,32.365,-100.433,LATM,Lake Trammell Park,CP,Sweetwater,TX
1741,32.378,-97.691,DECO,De Cordova Bend - Lake Granbury,AUTH,Granbury,TX
2018,32.395,-100.848,RUDD,Ruddick City Park,CP,Colorado City,TX
1869,32.417,-97.788,LAKG,Lake Granbury Marina and RV Park,AUTH,Granbury,TX
1999,32.426,-98.831,RING,Ringling Lake City Park,CP,Eastland,TX
2016,32.433,-97.792,ROUG,Rough Creek - Lake Granbury,AUTH,Granbury,TX
1752,32.434,-99.812,DYES,Dyess Military - Dyess AFB,MIL,Abilene,TX
1885,32.441,-100.303,LASW,Lake Sweetwater Park,CP,Sweetwater,TX
1774,32.455,-102.571,FLOR,Florey City Park,CP,Andrews,TX
2070,32.474,-97.815,THOR,Thorp Spring - Lake Granbury,AUTH,Granbury,TX
1821,32.478,-97.794,HUNT,Hunter Park - Lake Granbury,AUTH,Granbury,TX
2082,32.482,-95.281,TYLE,Tyler State Park,SP,,TX
1948,32.485,-100.411,NEWM,Newman Park,CP,Sweetwater,TX
2106,32.574,-101.169,WHIP,White Island Park - Lake J. B. Thomas,UTIL,,TX
2049,32.575,-101.143,SOUP,South Side Park - Lake J. B. Thomas,UTIL,Snyder,TX
1683,32.594,-101.173,BULL,Bull Creek Park - Lake J. B. Thomas,UTIL,,TX
2009,32.603,-97.457,ROCP,Rocky Creek Park - Benbrook Reservoir,COE,Fort Worth,TX
2029,32.603,-101.159,SANB,Sandy Beach Park - Lake J. B. Thomas,UTIL,,TX
1944,32.607,-97.489,BEAR,Mustang Park/Bear Creek  - Benbrook Lake,COE,Fort Worth,TX
1870,32.612,-95.256,LAKH,Lake Hawkins County RV Park,CP,Hawkins,TX
1913,32.616,-97.061,LOYD,Loyd County Park,CP,Grand Prairie,TX
1815,32.618,-97.497,HOLI,Holiday Park - Benbrook Lake,COE,Fort Worth,TX
1772,32.62,-95.252,FISH,Fish Hawke Point,CP,Mineola,TX
1706,32.622,-96.98,CEDH,Cedar Hill State Park,SP,Cedar Hill,TX
1867,32.648,-98.872,LAKD,Lake Daniel City Park,CP,,TX
1684,32.68,-94.176,CADD,Caddo Lake State Park,SP,Karnack,TX
1871,32.688,-95.547,LAKS,Lake Holbrook Park - South,CP,Mineola,TX
1872,32.7,-95.557,LAKW,Lake Holbrook Park - West,CP,Mineola,TX
2038,32.721,-102.649,SEMC,Seminole City Park,CP,Seminole,TX
1897,32.723,-101.958,LAME,Lamesa RV Park,CP,Lamesa,TX
1776,32.723,-101.955,FORR,Forrest Park - Lamesa,CP,Lamesa,TX
2095,32.73,-99.303,WEBB,Webb City Park,CP,Albany,TX
1677,32.738,-94.543,BRUS,Brushy Creek - Lake Of The Pines,COE,Jefferson,TX
1679,32.754,-94.492,BUCK,Buckhorn Creek - Lake Of The Pines,COE,Jefferson,TX
1823,32.784,-94.515,HURR,Hurricane Creek - Lake of the Pines,CP,Jefferson,TX
1846,32.79,-94.553,JOHN,Johnson Creek - Lake Of The Pines,COE,,TX
